row ID,Usage,cleaned_message,date,post_id,channel_name,msg_id
0,Public,"Российские иксоводы усиленно охотятся на танки противника, вооружившись барражирующим боеприпасом ""Ланцет Х-51"". @natooptishh",2024-02-24 14:26:31+00:00,natoptishh/2406,natoptishh,2406
1,Public,"Сегодня ночью дроны-камикадзе нанесли серию ударов по Кременчугу Полтавской области, целью стал крупнейший НПЗ в регионе, что подтверждают как спутники НАСА по мониторингу пожаров, так и местные власти. Космическая аппаратура зафиксировала один мощный источник пожара в пол второго ночи. Любопытно, но в утренней сводки воздушное командование ВСУ заявило об уничтожении всех запущенных по Украине дронов-камикадзе ""Герань"".",2024-02-20 13:59:39+00:00,SHAMANVOSTOKA/75803,SHAMANVOSTOKA,75803
2,Public,"Модель самолёта SJ-100 с двигателями ПД-8 прошла испытания в аэродинамической трубе на режиме посадки, сообщает #ОДК в своём ТГ-канале. Специалисты Центрального аэрогидродинамического института имени профессора Н.Е. Жуковского (#ЦАГИ, входит в #НИЦ ""Институт имени Н.Е. Жуковского"") анализировали изменение воздушного потока при различной степени открытия тормозных щитков, которые используются для снижения скорости. Они определили оптимальный угол выдвижения тормозных щитков, за счёт чего уменьшится вихревой след от авиалайнера. На практике это поможет увеличить пропускную способность аэропортов, так как сократится дистанция между самолётами в воздушной гавани. #Постфактум ✈️ МАКСимум авиации: Telegram & МАКС-2024 🎁 Сувениры & Одежда для влюбленных в небо",2024-01-24 10:40:52+00:00,aviasalonmaks/10892,aviasalonmaks,10892
3,Public,"Ликбез. БМП-2. Общее устройство. Добавляйте в избранное, изучайте 🤙 См. комментарии. #ликбез",2023-12-17 07:31:44+00:00,rosgvardeez/6527,rosgvardeez,6527
4,Public,"В армейской авиации высоко оценили «Изделие 305»🚁🚀 Введение в арсенал ударных вертолетов легкой многоцелевой управляемой ракеты ""Изделие 305"" позволило экипажам уничтожать противника, не входя в зону действия вражеской ПВО. Новая управляемая ракета ""Изделие 305"" значительно расширила возможности ударных вертолетов МИ-28НМ и Ка-52М. О высокой эффективности ЛМУР неоднократно сообщали сами военные. При общей массе в 105 кг с боевой частью в 25 кг, ракета отличается компактностью. Дальность - 14,5 км в любое время суток и при любой погоде. Ракета уверенно поражает как инженерные цели, так и бронетехнику, включая основные боевые танки.",2023-10-27 06:20:57+00:00,kapterkarus/3567,kapterkarus,3567
5,Public,"⭐️ Понесли по рунету слитое инфоцыганам видео боя русского корабля с 15 вражескими БЭК. ⭐️ Выскочили ""эксперты по ВМФ"", стали глумливо приплясывать: ""Проект 22160 такой, проект 22160 сякой, а мы говорили..."" ⭐️ Днём проснутся военблогеры (не путать с настоящими военкорами), возомнившие себя то ли офицерами УКОРа, то ли флотоводцами. За пару часов в интернете они родят тайное знание, как защитить наши корабли. ⭐️У кого-то произойдёт истерика. ⭐️ Кто-то стыдливо промолчит, как одно четырёхбуквенное недоразумение. ⭐️ Кто-то будет орать своим грязным ртом. ● А РУССКИЕ МОРЯКИ КАК ВСЕГДА ВЫПОЛНЯТ СВОЙ ДОЛГ. КАК КОМАНДИР ""КОТОВА"", СОХРАНИВШИЙ СВОЙ ЭКИПАЖ, НА БОЕВОМ СЧЕТУ У КОТОРОГО ТОЛЬКО ЗА ЭТОТ РАЗ — 10 БЭК. ● ИМЕНА ""ИВАНОВЕЦ"", ""СЕРГЕЙ КОТОВ"", ""САРАТОВ"", ""МОСКВА"" ПРИСВОЯТ НОВЫМ КОРАБЛИКАМ. ● УКРАИНА ЛИШИТСЯ МОРЯ. ⚪️⚪️⚪️⚪️⚪️⭐️👍👌✌",2024-03-05 23:31:04+00:00,olegsepar/113040,olegsepar,113040
6,Public,"🇺🇦🇷🇺 В Сухопутных войсках отрицают вероятность крупного наступления ВС РФ в Харьковской области в ближайшем будущем Спикер Командования Сухопутных войск Украины Фитьо: ""Журналисты The Telegraph искажают факты, добавив, что в их материале отсутствует что-то новое и он недостоин внимания"" По его словам, издание ссылается на какие-то непонятные подразделения военной разведки 🙂🙂🙂 Вот пусть и думают обычные хохлята — будет наступление в Харьковской области или не будет Подписаться на канал",2024-01-05 13:38:30+00:00,warhistoryalconafter/140516,warhistoryalconafter,140516
7,Public,Очередное пополнение бронетехники — российские бойцы увозят брошенную БМП ВС Украины.,2024-02-21 18:52:12+00:00,genshtab24/48433,genshtab24,48433
8,Public,"В очередной раз камрады Два майора поднимают тему работу ЦИПСО. Кроме официальных заявлений об успешности ВСУ и ПВО, есть и другие инструменты работы. Администраторы телеграм-каналов постоянно получают вал информации от анонимных ""российских военных"", которые рассказывают страшные истории. Какие-то из них могут и подтверждаться, но чаще - это работа ЦИПСО. Так, на днях разгонялась новость о том, что ВСУ химарсами не только сожгли батальон ""Атал"" 1251 мсп, но и убили комаполка полковника Владислава Матузаса. После разгона ""перемоги"" украинские читатели телеграм были удивлены появлению видео Матузаса, в котором он сам опроверг свою гибель и честно рассказал об обстреле, в котором действительно есть пострадавшие бойцы, но количество несопоставимо с названным украинским ЦИПСО, как несопоставима его ""смерть"" с реальностью. Все больше и больше несостыковок в работе ЦИПСО - сдуваются и они.",2023-11-03 09:00:00+00:00,Alekhin_Telega/8509,Alekhin_Telega,8509
9,Public,"Украинский разработчик BLITZ Aircraft Unmanned пишет, что сетки больше не спасут украинскую технику. Лидар и кумулятивный заряд позволяют ""Ланцетам"" теперь взрываться в нескольких метрах от украинской техники и все равно выводить ее из строя. … Ланцет"" задействует боевую часть на определенном расстоянии от цели, взрыв создает кумулятивную струю, которая долетает до объекта и поражает его. Несколько метров не снижают пробивные свойства таких боеприпасов. Пока доподлинно неизвестно, какую боеголовку задействовал ""Ланцет"" при атаке на M2 Bradley — старую ""К3-6"" или новую с ""ударным ядром"".",2023-11-09 15:27:48+00:00,poiskinfy/21769,poiskinfy,21769
10,Public,"Масштабные поставки боеприпасов 🇺🇦Украине привели к острому дефициту снарядов в вооруженных силах 🇩🇪Германии из-за этого основные подразделения ФРГ смогут продержаться в бою не более двух дней, заявил специализирующийся на вопросах обороны вице-председатель оппозиционной фракции ХДС/ХСС Йохан Вадефуль информационному агентству DPA. По его словам, ""разумная"" поставка боеприпасов Украине ""переросла теперь в тяжелый дефицит у бундесвера"". 🇵🇱Полякам на заметку, действуйте, забирайте свои репарации сами😁",2023-11-26 15:00:34+00:00,dmitrynikotin/15196,dmitrynikotin,15196
11,Public,"Т-80 разбирают прямой наводкой укрепленные опорные пункты с укрывшимися в них боевиками Экипажи танков Т-80 выезжают на прямую наводку и открывают огонь. В тепловизор отчетливо видно, как с расстояния около 5-ти километров поражаются укрепленные позиции националистов. Точным огнем прямой наводкой был уничтожен наблюдательный пункт ВСУ и разрушен блиндаж, в котором укрывалось до отделения пехоты ВСУ. ⭐️ Подписаться на Zvezdanews | *️⃣ Предложить новость",2023-12-20 03:18:36+00:00,zvezdanews/135688,zvezdanews,135688
12,Public,"🎞️ А ФАБы здесь громкие… Новый сериал, снятый по совместному сценарию морской пехоты Каспия и летчиков ВКС РФ. Часть 2. «Свинорейх должен быть разрушен!» #такоекино #отморпехов #КФл",2023-11-16 14:49:47+00:00,kaspiyskyberet/9951,kaspiyskyberet,9951
